source	target	distance	source_hex	source_base	target_hex	target_base
burlywood1	blue	0.302793717239535	#FFD39B	wood	#0000FF	blue
chartreuse	blue	0.40555985723933	#7FFF00	chartreuse	#0000FF	blue
chartreuse	blue2	0.392568834469329	#7FFF00	chartreuse	#0000EE	blue
chartreuse	blue3	0.367350966739329	#7FFF00	chartreuse	#0000CD	blue
chartreuse	blue4	0.316915231279327	#7FFF00	chartreuse	#00008B	blue
chartreuse	blueviolet	0.311011993896282	#7FFF00	chartreuse	#8A2BE2	blueviolet
chartreuse2	blue	0.391328430862125	#76EE00	chartreuse	#0000FF	blue
chartreuse2	blue2	0.378337408092125	#76EE00	chartreuse	#0000EE	blue
chartreuse2	blue3	0.353119540362124	#76EE00	chartreuse	#0000CD	blue
chartreuse2	blue4	0.302683804902123	#76EE00	chartreuse	#00008B	blue
chartreuse2	blueviolet	0.301664348127488	#76EE00	chartreuse	#8A2BE2	blueviolet
chartreuse3	blue	0.364213176712394	#66CD00	chartreuse	#0000FF	blue
chartreuse3	blue2	0.351222153942394	#66CD00	chartreuse	#0000EE	blue
chartreuse3	blue3	0.326004286212393	#66CD00	chartreuse	#0000CD	blue
chartreuse4	blue	0.315972288730897	#458B00	chartreuse	#0000FF	blue
chocolate	blue	0.313437860741177	#D2691E	chocolate	#0000FF	blue
chocolate	blue2	0.300446837971176	#D2691E	chocolate	#0000EE	blue
chocolate1	blue	0.338847073180181	#FF7F24	chocolate	#0000FF	blue
chocolate1	blue2	0.325856050410181	#FF7F24	chocolate	#0000EE	blue
chocolate1	blue3	0.30063818268018	#FF7F24	chocolate	#0000CD	blue
chocolate2	blue	0.329358329164174	#EE7621	chocolate	#0000FF	blue
chocolate2	blue2	0.316367306394173	#EE7621	chocolate	#0000EE	blue
chocolate3	blue	0.310506352733236	#CD661D	chocolate	#0000FF	blue
coral	blue	0.305223249540181	#FF7F50	coral	#0000FF	blue
cyan	brown	0.300842792940801	#00FFFF	cyan	#A52A2A	brown
cyan	brown1	0.334807453519475	#00FFFF	cyan	#FF4040	brown
cyan	brown2	0.329187154016437	#00FFFF	cyan	#EE3B3B	brown
cyan	brown3	0.316670662440603	#00FFFF	cyan	#CD3333	brown
cyan2	brown1	0.318797865788061	#00EEEE	cyan	#FF4040	brown
cyan2	brown2	0.313177566285022	#00EEEE	cyan	#EE3B3B	brown
