red	green	blue	color	hex	basecolor
white	255	255	255	white	#FFFFFF	white
aliceblue	240	248	255	aliceblue	#F0F8FF	blue
antiquewhite	250	235	215	antiquewhite	#FAEBD7	white
antiquewhite1	255	239	219	antiquewhite1	#FFEFDB	white
antiquewhite2	238	223	204	antiquewhite2	#EEDFCC	white
antiquewhite3	205	192	176	antiquewhite3	#CDC0B0	white
antiquewhite4	139	131	120	antiquewhite4	#8B8378	white
aquamarine	127	255	212	aquamarine	#7FFFD4	aquamarine
aquamarine2	118	238	198	aquamarine2	#76EEC6	aquamarine
aquamarine3	102	205	170	aquamarine3	#66CDAA	aquamarine
aquamarine4	69	139	116	aquamarine4	#458B74	aquamarine
azure	240	255	255	azure	#F0FFFF	azure
azure2	224	238	238	azure2	#E0EEEE	azure
azure3	193	205	205	azure3	#C1CDCD	azure
azure4	131	139	139	azure4	#838B8B	azure
beige	245	245	220	beige	#F5F5DC	beige
bisque	255	228	196	bisque	#FFE4C4	bisque
bisque2	238	213	183	bisque2	#EED5B7	bisque
bisque3	205	183	158	bisque3	#CDB79E	bisque
bisque4	139	125	107	bisque4	#8B7D6B	bisque
black	0	0	0	black	#000000	black
blanchedalmond	255	235	205	blanchedalmond	#FFEBCD	blanchedalmond
blue	0	0	255	blue	#0000FF	blue
blue2	0	0	238	blue2	#0000EE	blue
blue3	0	0	205	blue3	#0000CD	blue
blue4	0	0	139	blue4	#00008B	blue
blueviolet	138	43	226	blueviolet	#8A2BE2	blueviolet
brown	165	42	42	brown	#A52A2A	brown
brown1	255	64	64	brown1	#FF4040	brown
brown2	238	59	59	brown2	#EE3B3B	brown
brown3	205	51	51	brown3	#CD3333	brown
brown4	139	35	35	brown4	#8B2323	brown
burlywood	222	184	135	burlywood	#DEB887	wood
burlywood1	255	211	155	burlywood1	#FFD39B	wood
burlywood2	238	197	145	burlywood2	#EEC591	wood
burlywood3	205	170	125	burlywood3	#CDAA7D	wood
burlywood4	139	115	85	burlywood4	#8B7355	wood
cadetblue	95	158	160	cadetblue	#5F9EA0	cadetblue
cadetblue1	152	245	255	cadetblue1	#98F5FF	cadetblue
cadetblue2	142	229	238	cadetblue2	#8EE5EE	cadetblue
cadetblue3	122	197	205	cadetblue3	#7AC5CD	cadetblue
cadetblue4	83	134	139	cadetblue4	#53868B	cadetblue
chartreuse	127	255	0	chartreuse	#7FFF00	chartreuse
chartreuse2	118	238	0	chartreuse2	#76EE00	chartreuse
chartreuse3	102	205	0	chartreuse3	#66CD00	chartreuse
chartreuse4	69	139	0	chartreuse4	#458B00	chartreuse
chocolate	210	105	30	chocolate	#D2691E	chocolate
chocolate1	255	127	36	chocolate1	#FF7F24	chocolate
chocolate2	238	118	33	chocolate2	#EE7621	chocolate
chocolate3	205	102	29	chocolate3	#CD661D	chocolate
chocolate4	139	69	19	chocolate4	#8B4513	chocolate
coral	255	127	80	coral	#FF7F50	coral
coral1	255	114	86	coral1	#FF7256	coral
coral2	238	106	80	coral2	#EE6A50	coral
coral3	205	91	69	coral3	#CD5B45	coral
coral4	139	62	47	coral4	#8B3E2F	coral
cornflowerblue	100	149	237	cornflowerblue	#6495ED	cornflowerblue
cornsilk	255	248	220	cornsilk	#FFF8DC	cornsilk
cornsilk2	238	232	205	cornsilk2	#EEE8CD	cornsilk
cornsilk3	205	200	177	cornsilk3	#CDC8B1	cornsilk
cornsilk4	139	136	120	cornsilk4	#8B8878	cornsilk
cyan	0	255	255	cyan	#00FFFF	cyan
cyan2	0	238	238	cyan2	#00EEEE	cyan
cyan3	0	205	205	cyan3	#00CDCD	cyan
cyan4	0	139	139	cyan4	#008B8B	cyan
darkgoldenrod	184	134	11	darkgoldenrod	#B8860B	goldenrod
darkgoldenrod1	255	185	15	darkgoldenrod1	#FFB90F	goldenrod
darkgoldenrod2	238	173	14	darkgoldenrod2	#EEAD0E	goldenrod
darkgoldenrod3	205	149	12	darkgoldenrod3	#CD950C	goldenrod
darkgoldenrod4	139	101	8	darkgoldenrod4	#8B6508	goldenrod
darkgray	169	169	169	darkgray	#A9A9A9	gray
darkgreen	0	100	0	darkgreen	#006400	green
darkkhaki	189	183	107	darkkhaki	#BDB76B	khaki
darkmagenta	139	0	139	darkmagenta	#8B008B	magenta
darkolivegreen	85	107	47	darkolivegreen	#556B2F	olivegreen
darkolivegreen1	202	255	112	darkolivegreen1	#CAFF70	olivegreen
darkolivegreen2	188	238	104	darkolivegreen2	#BCEE68	olivegreen
darkolivegreen3	162	205	90	darkolivegreen3	#A2CD5A	olivegreen
darkolivegreen4	110	139	61	darkolivegreen4	#6E8B3D	olivegreen
darkorange	255	140	0	darkorange	#FF8C00	orange
darkorange1	255	127	0	darkorange1	#FF7F00	orange
darkorange2	238	118	0	darkorange2	#EE7600	orange
darkorange3	205	102	0	darkorange3	#CD6600	orange
darkorange4	139	69	0	darkorange4	#8B4500	orange
darkorchid	153	50	204	darkorchid	#9932CC	orchid
darkorchid1	191	62	255	darkorchid1	#BF3EFF	orchid
darkorchid2	178	58	238	darkorchid2	#B23AEE	orchid
darkorchid3	154	50	205	darkorchid3	#9A32CD	orchid
darkorchid4	104	34	139	darkorchid4	#68228B	orchid
darkred	139	0	0	darkred	#8B0000	red
darksalmon	233	150	122	darksalmon	#E9967A	salmon
darkseagreen	143	188	143	darkseagreen	#8FBC8F	seagreen
darkseagreen1	193	255	193	darkseagreen1	#C1FFC1	seagreen
darkseagreen2	180	238	180	darkseagreen2	#B4EEB4	seagreen
darkseagreen3	155	205	155	darkseagreen3	#9BCD9B	seagreen
darkseagreen4	105	139	105	darkseagreen4	#698B69	seagreen
darkslateblue	72	61	139	darkslateblue	#483D8B	blue
darkslategray	47	79	79	darkslategray	#2F4F4F	gray
darkslategray1	151	255	255	darkslategray1	#97FFFF	gray
darkslategray2	141	238	238	darkslategray2	#8DEEEE	gray
darkslategray3	121	205	205	darkslategray3	#79CDCD	gray
darkslategray4	82	139	139	darkslategray4	#528B8B	gray
darkturquoise	0	206	209	darkturquoise	#00CED1	turquoise
darkviolet	148	0	211	darkviolet	#9400D3	violet
deeppink	255	20	147	deeppink	#FF1493	pink
deeppink2	238	18	137	deeppink2	#EE1289	pink
deeppink3	205	16	118	deeppink3	#CD1076	pink
deeppink4	139	10	80	deeppink4	#8B0A50	pink
deepskyblue	0	191	255	deepskyblue	#00BFFF	skyblue
deepskyblue2	0	178	238	deepskyblue2	#00B2EE	skyblue
deepskyblue3	0	154	205	deepskyblue3	#009ACD	skyblue
deepskyblue4	0	104	139	deepskyblue4	#00688B	skyblue
dimgray	105	105	105	dimgray	#696969	dimgray
dodgerblue	30	144	255	dodgerblue	#1E90FF	blue
dodgerblue2	28	134	238	dodgerblue2	#1C86EE	blue
dodgerblue3	24	116	205	dodgerblue3	#1874CD	blue
dodgerblue4	16	78	139	dodgerblue4	#104E8B	blue
firebrick	178	34	34	firebrick	#B22222	firebrick
firebrick1	255	48	48	firebrick1	#FF3030	firebrick
firebrick2	238	44	44	firebrick2	#EE2C2C	firebrick
firebrick3	205	38	38	firebrick3	#CD2626	firebrick
firebrick4	139	26	26	firebrick4	#8B1A1A	firebrick
floralwhite	255	250	240	floralwhite	#FFFAF0	floralwhite
forestgreen	34	139	34	forestgreen	#228B22	forestgreen
gainsboro	220	220	220	gainsboro	#DCDCDC	gainsboro
ghostwhite	248	248	255	ghostwhite	#F8F8FF	ghostwhite
gold	255	215	0	gold	#FFD700	gold
gold2	238	201	0	gold2	#EEC900	gold
gold3	205	173	0	gold3	#CDAD00	gold
gold4	139	117	0	gold4	#8B7500	gold
goldenrod	218	165	32	goldenrod	#DAA520	goldenrod
goldenrod1	255	193	37	goldenrod1	#FFC125	goldenrod
